Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
177,2,2,"34,300,000","Tlacopac, Alvaro Obregón",- 773 m² tot. - 3 rec. - 4 baños - 5 estac.
178,2,2,"19,100,000","San Jerónimo Lídice, La Magdalena Contreras",- 421 m² tot. - 3 rec. - 4 baños - 4 estac.
179,2,2,"65,000,000","Del Carmen, Coyoacán",- 1080 m² tot. - 12 rec. - 12 baños - 10 estac.
180,2,2,"17,000,000","Del Valle Norte, Benito Juárez",- 242 m² tot. - 5 rec. - 2 baños - 2 estac.
181,2,2,"8,400,000","San Jerónimo Aculco, La Magdalena Contreras",- 280 m² tot. - 3 rec. - 2 baños - 3 estac.
182,2,2,"70,000,000","Bosques de las Lomas, Cuajimalpa de Morelos",- 705 m² tot. - 4 rec. - 4 baños - 4 estac.
183,2,2,"33,900,000","Jardines del Pedregal, Alvaro Obregón",- 1257 m² tot. - 5 rec. - 6 baños - 12 estac.
184,2,2,"5,400,000","La Joya, Gustavo A. Madero",- 149 m² tot. - 5 rec. - 4 baños - 3 estac.
185,2,2,"33,000,000","Jardines del Pedregal, Alvaro Obregón",- 1333 m² tot. - 6 rec. - 6 baños - 19 estac.
186,2,2,"13,940,000","Narvarte Poniente, Benito Juárez",- 370 m² tot. - 6 rec. - 4 baños - 6 estac.
187,2,2,"16,900,000","Bosques de las Lomas, Cuajimalpa de Morelos",- 574 m² tot. - 3 rec. - 3 baños - 4 estac.
188,2,2,"13,900,000","Club de Golf México, Tlalpan",- 660 m² tot. - 3 rec. - 3 baños - 3 estac.
189,2,2,"19,990,000","Tlacopac, Alvaro Obregón",- 630 m² tot. - 4 rec. - 4 baños - 6 estac.
190,2,2,"14,925,000","Residencial Acoxpa, Tlalpan",- 462 m² tot. - 6 rec. - 5 baños - 6 estac.
191,2,2,"17,124,000","Fuentes del Pedregal, Tlalpan",- 525 m² tot. - 4 rec. - 3 baños - 2 estac.
192,2,2,"41,987,000","Barrio Santa Catarina, Coyoacán",- 982 m² tot. - 3 rec. - 3 baños - 5 estac.
193,2,2,"9,800,000","Las Águilas, Alvaro Obregón",- 277 m² tot. - 4 rec. - 4 baños - 2 estac.
194,2,2,"13,800,000","Tlalpan Centro, Tlalpan",- 293 m² tot. - 3 rec. - 3 baños - 3 estac.
195,2,2,"18,000,000","Romero de Terreros, Coyoacán",- 357 m² tot. - 3 rec. - 6 baños - 4 estac.
196,2,2,"28,500,000","Jardines del Pedregal, Alvaro Obregón",- 760 m² tot. - 4 rec. - 5 baños
197,2,2,"34,725,000","Villa Coyoacán, Coyoacán",- 727 m² tot. - 4 rec. - 3 baños - 6 estac.
198,2,2,"39,890,000","Bosque de las Lomas, Miguel Hidalgo",- 600 m² tot. - 3 rec. - 4 baños - 4 estac.
199,2,2,"13,200,000","Club de Golf México, Tlalpan",- 420 m² tot. - 3 rec. - 3 baños - 3 estac.
200,2,2,"12,138,525","San Francisco, La Magdalena Contreras",- 280 m² tot. - 3 rec. - 3 baños - 3 estac.
201,2,2,"14,000,000","Florida, Alvaro Obregón",- 503 m² tot. - 5 rec. - 5 baños - 5 estac.
202,2,2,"21,000,000","Jardines del Pedregal, Alvaro Obregón",- 400 m² tot. - 4 rec. - 3 baños
203,2,2,"8,700,000","Ampliación las Águilas, Alvaro Obregón",- 241 m² tot. - 3 rec. - 2 baños - 2 estac.
204,2,2,"29,000,000","Lomas de Chapultepec, Miguel Hidalgo",- 639 m² tot. - 3 rec. - 3 baños - 3 estac.
205,2,2,"3,013,500","2o Reacomodo Tlacuitlapa, Alvaro Obregón",- 120 m² tot. - 3 rec. - 2 baños - 3 estac.
206,2,2,"4,450,000","Torres de Potrero, Alvaro Obregón",- 227 m² tot. - 6 rec. - 3 baños - 3 estac.
207,2,2,"32,000,000","Del Valle Norte, Benito Juárez",- 450 m² tot. - 8 rec. - 2 baños - 7 estac.
208,2,2,"32,600,000","Jardines del Pedregal, Alvaro Obregón",- 750 m² tot. - 4 rec. - 4 baños - 4 estac.
209,2,2,"13,300,000","Club de Golf México, Tlalpan",- 340 m² tot. - 3 rec. - 3 baños - 2 estac.
210,2,2,"20,647,000","Insurgentes Cuicuilco, Coyoacán",- 420 m² tot. - 3 rec. - 3 baños - 6 estac.
211,2,2,"43,000,000","Bosque de las Lomas, Miguel Hidalgo",- 1300 m² tot. - 4 rec. - 4 baños - 4 estac.
212,2,2,"19,200,000","Lomas de San Angel Inn, Alvaro Obregón",- 500 m² tot. - 4 rec. - 4 baños - 7 estac.
213,2,2,"62,500,000","Polanco IV Sección, Polanco",- 375 m² tot. - 7 rec. - 5 baños - 5 estac.
214,2,2,"58,000,000","San Bartolo Ameyalco, Alvaro Obregón",- 3800 m² tot. - 4 rec. - 4 baños - 12 estac.
215,2,2,"12,500,000","San Andrés Totoltepec, Tlalpan",- 1150 m² tot. - 3 rec. - 3 baños - 7 estac.
216,2,2,"53,800,000","Jardines del Pedregal, Alvaro Obregón",- 1020 m² tot. - 4 rec. - 5 baños - 4 estac.
217,2,2,"32,500,000","Lomas de Chapultepec, Miguel Hidalgo",- 430 m² tot. - 3 rec. - 3 baños - 3 estac.
218,2,2,"37,000,000","San Angel Inn, Alvaro Obregón",- 480 m² tot. - 3 rec. - 3 baños - 3 estac.
219,2,2,"15,900,000","Lomas de Chapultepec, Miguel Hidalgo",- 187 m² tot. - 3 rec. - 4 baños - 3 estac.
220,2,2,"9,900,000","Escandón I Sección, Miguel Hidalgo",- 179 m² tot. - 2 rec. - 2 baños - 2 estac.
221,2,2,"23,600,000","Los Alpes, Alvaro Obregón",- 785 m² tot. - 4 rec. - 6 baños - 6 estac.
222,2,2,"5,500,000","Tetelpan, Alvaro Obregón",- 193 m² tot. - 3 rec. - 25 baños - 2 estac.
223,2,2,"11,000,000","Nápoles, Benito Juárez",- 216 m² tot.
224,2,2,"28,750,000","Anzures, Miguel Hidalgo",- 257 m² tot. - 6 rec. - 6 baños - 2 estac.
225,2,2,"27,900,000","Del Carmen, Coyoacán",- 674 m² tot. - 4 rec. - 6 baños - 6 estac.
226,2,2,"19,500,000","Fuentes del Pedregal, Tlalpan",- 415 m² tot. - 4 rec. - 3 baños - 6 estac.
227,2,2,"48,000,000","Bosque de las Lomas, Miguel Hidalgo",- 750 m² tot. - 4 rec. - 4 baños - 6 estac.
228,2,2,"24,850,000","Bosque de las Lomas, Miguel Hidalgo",- 800 m² tot. - 2 rec. - 3 baños - 3 estac.
229,2,2,"10,500,000","Olivar de los Padres, Alvaro Obregón",- 195 m² tot. - 3 rec. - 2 baños - 2 estac.
